,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
FR_Start,GMT,22:58:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,22:58:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.012005149042075197,0.014008257224487747,0.013900516524509295,0.01472052955289525,0.015522079600094631,0.018468036544848746,0.023830132387388264,0.025969416705222802,0.029452789248078506,0.032025781750782766,0.033234783897235616,0.03229748166805068,0.031078717134358922,0.03343654906673385,0.033079254860350585,0.03311197337132218,0.03461572016886324,0.03668699318893338,0.03682432965817507,0.03827788953540344,0.03640315674518254,0.03558819754731087,0.0348410983989506,0.032756396367326475,0.03252662124358127,0.03164553142066682,0.029580128055021075,0.027292010872956924,0.026970368476997318,0.023350826673640218,0.017533499561501433,0.011028797263934628,0.00545331267087803,0.003676123545639322,0.0007777871228898687,-0.0008743813326929725,-0.005059492775276012,-0.008240186626741709,-0.011926107316162927,-0.013820095231198473,-0.01498811979541001,-0.013973242490038834,-0.016719666322846525,-0.021605631137190807,-0.021424693921562377,-0.02289191655764482,-0.023429804233626977,-0.021666356546889108,-0.022909667602610217,-0.021008185260250653,-0.017384821001045082,-0.014382437763602101,-0.012106316554088798,-0.013446429547248362,-0.0174389694033782,-0.019709017766369647,-0.021811435704476155,-0.025162983936643835
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8665161132812,998.872802734375,998.8862915039062,998.8734130859375,998.8580932617188,998.85302734375,998.8803100585938,998.8561401367188,998.8759765625,998.843017578125,998.8709106445312,998.8787231445312,998.8511352539062,998.876220703125,998.88818359375,998.8721923828125,998.8605346679688,998.8850708007812,998.8539428710938,998.8771362304688,998.8599853515625,998.8589477539062,998.882568359375,998.8502197265625,998.8806762695312,998.8753051757812,998.8759765625,998.8539428710938,998.8527221679688,998.8822631835938,998.8740234375,998.8840942382812,998.8446044921875,998.8671875,998.8486328125,998.8699951171875,998.8768310546875,998.8658447265625,998.8621826171875,998.8850708007812,998.8568725585938,998.8856811523438,998.8900756835938,998.8461303710938,998.8740234375,998.8862915039062,998.8499145507812,998.8778686523438,998.8546142578125,998.8561401367188,998.8665161132812,998.8505249023438,998.8712158203125,998.868408203125,998.885986328125,998.8483276367188,998.872802734375,998.876220703125
Yaw,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,0.1377952758,0.1377952758,0.1377952758,0.1377952758,0.1377952758,0.1377952758,0.1377952758,0.1410761157,0.1410761157,0.1410761157,0.1410761157,0.1410761157,0.1410761157,0.1410761157,0.1410761157,0.16076115510000002,0.16076115510000002,0.16076115510000002,0.16076115510000002,0.16076115510000002,0.16076115510000002,0.16076115510000002,0.16076115510000002,0.1673228349,0.1673228349,0.1673228349,0.1673228349,0.1673228349,0.1673228349,0.1673228349,0.1673228349,0.1738845147,0.1738845147,0.1738845147,0.1738845147,0.1738845147,0.1738845147,0.1738845147,0.1738845147,0.1738845147,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.2099737536,0.2099737536,0.2099737536,0.2099737536,0.2099737536,0.2099737536,0.2099737536,0.2099737536,0.2099737536
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.02781051956117153,0.02781051956117153,0.02781051956117153,0.02781051956117153,0.02781051956117153,0.02781051956117153,0.02781051956117153,0.02785511687397957,0.02785511687397957,0.02785511687397957,0.02785511687397957,0.02785511687397957,0.02785511687397957,0.02785511687397957,0.02785511687397957,0.028061307966709137,0.028061307966709137,0.028061307966709137,0.028061307966709137,0.028061307966709137,0.028061307966709137,0.028061307966709137,0.028061307966709137,0.027529066428542137,0.027529066428542137,0.027529066428542137,0.027529066428542137,0.027529066428542137,0.027529066428542137,0.027529066428542137,0.027529066428542137,0.02745581977069378,0.02745581977069378,0.02745581977069378,0.02745581977069378,0.02745581977069378,0.02745581977069378,0.02745581977069378,0.02745581977069378,0.02745581977069378,0.02769557759165764,0.02769557759165764,0.02769557759165764,0.02769557759165764,0.02769557759165764,0.02769557759165764,0.02769557759165764,0.02769557759165764,0.02769557759165764,0.02799135074019432,0.02799135074019432,0.02799135074019432,0.02799135074019432,0.02799135074019432,0.02799135074019432,0.02799135074019432,0.02799135074019432,0.02799135074019432
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,22:58:36,22:58:37,22:58:37,22:58:37,22:58:37,22:58:38,22:58:38,22:58:38,22:58:38,22:58:39,22:58:39,22:58:39,22:58:39,22:58:40,22:58:40,22:58:40,22:58:40,22:58:41,22:58:41,22:58:41,22:58:41,22:58:42,22:58:42,22:58:42,22:58:42,22:58:43,22:58:43,22:58:43,22:58:43,22:58:44,22:58:44,22:58:44,22:58:44,22:58:45,22:58:45,22:58:45,22:58:45,22:58:46,22:58:46,22:58:46,22:58:46,22:58:47,22:58:47,22:58:47,22:58:47,22:58:48,22:58:48,22:58:48,22:58:48,22:58:49,22:58:49,22:58:49,22:58:49,22:58:50,22:58:50,22:58:50,22:58:50,22:58:51
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
